# Spec No	Fractional day	Fractional time	Scans	Tint	UAV servo sent position byte	Date (DD/MM/YYYY)	Time (hh:mm:ss)	Inside temperature	Outside temperature	Total Experiment Time (sec)	Total Acquisition Time (sec)	NO2.RMS	NO2.SlCol(NO2)	NO2.SlErr(NO2)	NO2.SlCol(H2O)	NO2.SlErr(H2O)	NO2.SlCol(O3)	NO2.SlErr(O3)	NO2.SlCol(O4)	NO2.SlErr(O4)	NO2.SlCol(pola)	NO2.SlErr(pola)	NO2.SlCol(ring)	NO2.SlErr(ring)	Fluxes 500
67	77.432682	10.3843795833333	1	0.03	52	18/03/2019	10:23:03	0	0	33	30	0.00057908	8899400000000000	373090000000000	1.4862E+022	1.6533E+021	6.9747E+018	3.3907E+017	9.5027E+042	1.9165E+041	0.0049728	0.00072072	-0.006245	0.00049355	595.4917
68	77.433059	10.3934218055556	1	0.03	58	18/03/2019	10:23:36	0	0	32	30	0.00056713	1.5362E+016	365390000000000	5.1218E+022	1.6192E+021	4.3095E+018	3.3207E+017	1.5078E+043	1.877E+041	-0.0035171	0.00070584	-0.0065171	0.00048337	647.1663
69	77.433436	10.4024640277778	1	0.03	64	18/03/2019	10:24:08	0	0	33	30	0.00089088	2.3283E+016	573990000000000	7.4807E+022	2.5435E+021	4.0841E+018	5.2163E+017	1.9347E+043	2.9485E+041	-0.001187	0.0011088	-0.0049821	0.00075931	696.5193
70	77.433813	10.41150625	1	0.03	70	18/03/2019	10:24:41	0	0	32	30	0.0011049	3.9891E+016	711880000000000	1.3593E+023	3.1545E+021	5.5219E+018	6.4695E+017	2.8093E+043	3.6568E+041	-0.0011438	0.0013752	-0.0021249	0.00094172	755.2543
71	77.43419	10.4205484722222	1	0.03	76	18/03/2019	10:25:13	0	0	33	30	0.0033152	9.803E+015	2135900000000000	6.9086E+022	9.4648E+021	3.5697E+018	1.9411E+018	1.094E+043	1.0972E+042	-0.039121	0.004126	0.012506	0.0028255	177.7541
72	77.434566	10.4295906944444	1	0.03	82	18/03/2019	10:25:46	0	0	32	30	0.0071123	1.1468E+016	4582400000000000	7.2421E+021	2.0306E+022	1.0891E+019	4.1644E+018	2.4759E+043	2.3539E+042	-0.05376	0.0088519	-0.085072	0.0060619	67.1235
73	77.434943	10.4386329166667	1	0.03	28	18/03/2019	10:26:19	0	0	33	30	0.0010434	4666900000000000	672250000000000	-2.4035E+021	2.9789E+021	4.0938E+018	6.1094E+017	1.2977E+041	3.4532E+041	-0.0019	0.0012986	-0.0029028	0.0008893	657.636
74	77.43532	10.4476895833333	1	0.03	34	18/03/2019	10:26:51	0	0	33	30	0.00085232	3.4694E+015	549140000000000	-2.3829E+022	2.4334E+021	9.3797E+018	4.9905E+017	-1.7683E+042	2.8208E+041	0.012551	0.0010608	0.002414	0.00072644	725.6558
75	77.435698	10.45674625	1	0.03	40	18/03/2019	10:27:24	0	0	32	30	0.00076269	4993100000000000	491390000000000	-6.0724E+021	2.1775E+021	1.0615E+019	4.4658E+017	2.1636E+042	2.5242E+041	-0.013225	0.00094924	-0.0097063	0.00065005	666.1413
76	77.436075	10.4658029166667	1	0.03	46	18/03/2019	10:27:56	0	0	33	30	0.00062085	6864400000000000	400010000000000	1.3069E+022	1.7725E+021	2.9833E+018	3.6352E+017	4.1877E+042	2.0548E+041	0.0010334	0.00077271	-0.0051019	0.00052916	632.9404
77	77.436452	10.4748595833333	1	0.03	52	18/03/2019	10:28:29	0	0	32	30	0.00045887	9.0751E+015	295650000000000	2.1132E+022	1.3101E+021	4.9534E+018	2.6868E+017	7.1213E+042	1.5187E+041	-0.0044687	0.00057111	-0.0039791	0.0003911	641.9512
78	77.436829	10.4839018055556	1	0.03	58	18/03/2019	10:29:02	0	0	33	30	0.0005524	1.5915E+016	355900000000000	4.1334E+022	1.5771E+021	5.7751E+018	3.2344E+017	1.3207E+043	1.8282E+041	-0.0036214	0.00068751	-0.0093575	0.00047081	648.9158
79	77.437206	10.4929440277778	1	0.03	64	18/03/2019	10:29:34	0	0	32	30	0.00077941	2.5139E+016	502160000000000	7.8431E+022	2.2252E+021	4.9035E+018	4.5636E+017	2.0173E+043	2.5795E+041	0.0015309	0.00097005	-0.0053685	0.0006643	728.4984
80	77.437583	10.50198625	1	0.03	70	18/03/2019	10:30:07	0	0	33	30	0.0011272	3.7695E+016	726230000000000	1.4786E+023	3.2181E+021	5.8045E+018	6.6E+017	2.9736E+043	3.7305E+041	-0.0040166	0.0014029	-0.0025401	0.00096071	748.1122
81	77.43796	10.5110284722222	1	0.03	76	18/03/2019	10:30:39	0	0	32	30	0.0032575	9.4204E+015	2.0988E+015	7.2804E+022	9.3002E+021	2.3794E+018	1.9074E+018	1.0635E+043	1.0781E+042	-0.036378	0.0040543	0.01147	0.0027764	188.8398
82	77.438336	10.5200706944444	1	0.03	82	18/03/2019	10:31:12	0	0	33	30	0.0070158	1.1852E+016	4520200000000000	1.159E+022	2.003E+022	1.2051E+019	4.1079E+018	2.0886E+043	2.322E+042	-0.069145	0.0087318	-0.080876	0.0059796	65.86731
