sn_name,gal_mag,redshift
1995A,15.048,0.031866

1995B,17.36,0.033022

1995ah,17.6,0.0147

1995C,14.95,0.027212

1995D,12.869,0.006572

1995F,13.172,0.005053

1995E,13.012,0.011557

1995G,14.08,0.016235

1995H,13.332,0.004724

1995I,18.9,0.074998

1995L,14.068,0.024316

1995K,0.47833

1995J,14.703,0.009904

1995M,16.73,0.051999

1995O,0.175121

1995N,13.356,0.006162

1995P,16.465,0.056006

1995Q,15.877

1995R,14.859,0.023675

1995S,14.24,0.02054

1995be,16.17

1995T,17.22,0.056415

1995U,15.66,0.055598

1995V,11.505,0.005074

1995X,15.5,0.005185

1995W,13.19,0.011272

1995Y,12.52,0.017768

1995Z,15.011,0.015839

1995af,18

1995aa,17.39,0.190001

1995ae,18.1,0.068947

1995ac,16.49,0.049901

1995ab,16.84,0.018999

1995ag,15.015,0.004917

1995ad,11.999,0.006145

1995aj,18.5

1995am,15.142,0.016708

1995ai,13.744,0.017609

1995ak,15.02,0.02272

1995an,14.752,0.011744

1995au,0.16

1995al,12.458,0.005134

1995ap,0.300207

1995ao,0.240166

1995aq,0.452996

1995ar,0.464998

1995as,0.497997

1995aw,0.4

1995ax,0.614998

1995av,0.3

1995ay,0.479998

1995az,0.450001

1995at,0.654999

1995ba,0.387998

1995bb,17.19,0.0058

1995bc,16.69,0.047813

1995bd,15.18,0.015393

1996A,15.21,0.032999

1996B,13.08,0.013794

1996D,13.611,0.015934

1996E,0.43

1996F,0.440001

1996I,0.570001

1996H,0.619998

1996G,0.41

1996C,16.35,0.026998

1996J,0.3

1996K,0.379999

1996N,10.554,0.004778

1996cq

1996cp

1996Q,0.359999

1996R,19.5,0.156168

1996T,0.239999

1996S,0.109999

1996U,0.43

1996cr,12.032,0.001458

1996cf,0.570001

1996ch,0.570001

1996cj,0.190001

1996ck,0.656

1996ci,0.494999

1996cg,0.489998

1996cl,0.827999

1996cn,0.43

1996cm,0.450001

1996L,15.523,0.033022

1996M,15.85,0.02

1996O,15.526,0.037245

1996P,14.403,0.015516

1996V,15.203,0.023789

1996Y,15.646,0.048825

1996W,11.59,0.005577

1996X,11.222,0.006774

1996ad,16.52

1996ab,0.13009

1996aa,11.918,0.010842

1996Z,12.268,0.007595

1996ae,12.219,0.005593

1996ac,16.036,0.025567

1996ah,15.422,0.047386

1996ag,19,0.14

1996af,0.099999

1996aj,0.109999

1996ai,10.526,0.003169

1996am,18.5,0.065768

1996ak,14.504,0.027519

1996al,12.15,0.006559

1996an,11.189,0.004702

1996ao,19.1,0.060001

1996bp,15.118,0.034854

1996ap,16.8,0.074941

1996aq,12.271,0.005471

1996ar,15.143,0.059978

1996as,14.81,0.036001

1996at,0.089998

1996av,0.509999

1996au,0.519999

1996bm,19.1

