m-M,redshift
40.99,0.3049
41.07,0.304931
41.32,0.304942
40.63,0.305003
41.06,0.305136
41.32,0.305435
40.86,0.305661
40.94,0.305943
41.02,0.306192
40.42,0.306327
40.9,0.30637
40.39,0.3064
40.47,0.306576
40.85,0.306777
41.03,0.307
40.47,0.307205
40.91,0.307469
40.82,0.307732
40.72,0.307786
41.09,0.308008
40.31,0.30807
41.63,0.308083
40.98,0.308446
41.23,0.308529
41.82,0.308534
41.14,0.3088
41.33,0.309079
40.72,0.309131
41.21,0.309251
40.82,0.309534
40.83,0.3097
40.84,0.309838
40.19,0.31
41.12,0.3102
41.11,0.310279
40.9,0.310404
41.11,0.3105
41.18,0.3109
40.96,0.310903
41.26,0.311647
40.72,0.311973
41.22,0.311984
39.51,0.312
40.45,0.312052
41.07,0.313153
40.8,0.313563
40.52,0.314
41.19,0.3141
41.34,0.314419
40.87,0.314735
41.09,0.3153
40.65,0.315484
41.04,0.315534
40.9,0.316
41.08,0.3162
40.97,0.3163
40.82,0.316355
40.42,0.31643
40.61,0.316958
40.97,0.316961
41.21,0.317369
41.19,0.3177
41.22,0.3182
40.53,0.318671
40.89,0.318863
41.87,0.319
41.04,0.3192
40.88,0.319315
41.67,0.3195
40.71,0.319595
41.05,0.319838
41.18,0.319944
40.32,0.32
40.23,0.320204
40.99,0.320367
41.12,0.3206
41.28,0.3207
40.7,0.3212
40.09,0.321601
41.07,0.322057
40.71,0.322518
41.16,0.323
40.57,0.323264
40.59,0.323731
41.15,0.323773
41.01,0.324
40.91,0.324839
41.07,0.324952
41.39,0.325011
41.21,0.325121
40.5,0.325169
40.57,0.3257
40.95,0.326069
41.08,0.326503
41.22,0.327784
41.32,0.3281
41.15,0.3282
41.36,0.3288
41.25,0.329
41.05,0.329251
41.48,0.32941
41.02,0.329549
